No,Nama Barang,Brand,Kode Barang,Beginning Stock,Stock In,Stock Out,Current Stock,Ending stock,Minimum Stock
31-Dec-1899,Disc Zircone GT-G 18 Layer D98x14 A1,Upcera,RMT-005,2,19,18,3,3.05,2
01-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 A1,Upcera,RMT-006,1,11,9,3,2.52,2
02-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 A1,Upcera,RMT-007,2,6,4,4,3.48,2
03-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 A1,Upcera,RMT-008,2,6,6,2,2.19,2
04-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 A2,Upcera,RMT-009,1,54,54,1,2.67,2
05-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 A2,Upcera,RMT-010,3,14,16,1,3.00,2
06-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 A2,Upcera,RMT-011,2,17,16,3,2.67,2
07-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 A2,Upcera,RMT-012,3,11,12,2,4.00,2
08-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 A3,Upcera,RMT-013,0,113,112,1,2.33,2
09-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 A3,Upcera,RMT-014,1,35,33,3,3.24,2
10-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 A3,Upcera,RMT-015,2,28,28,2,0.86,2
11-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 A3,Upcera,RMT-016,1,17,15,3,2.48,2
12-Jan-1900,Disc Zircone ST-ML 16 Layer D98x14 A1,Upcera,RMT-017,0,0,0,0,0.00,1
13-Jan-1900,Disc Zircone ST-ML 16 Layer D98x14 A2,Upcera,RMT-018,0,0,0,0,0.00,1
14-Jan-1900,Disc Zircone ST-ML 16 Layer D98x14 A3,Upcera,RMT-019,0,0,0,0,0.00,1
15-Jan-1900,Disc Zircone ST D98x14 W,Upcera,RMT-020,1,15,14,2,3.00,1
16-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 C2,Upcera,RMT-021,1,26,25,2,2.00,2
17-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 C4,Upcera,RMT-022,1,4,3,2,1.00,1
18-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 D2,Upcera,RMT-023,1,3,2,2,2.24,1
19-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 C2,Upcera,RMT-024,1,10,9,2,0.33,1
20-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 C4,Upcera,RMT-025,1,1,1,1,1.00,1
21-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 D2,Upcera,RMT-026,1,0,0,1,1.00,1
22-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 A3,Upcera,RMT-035,1,15,14,2,2.00,1
23-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 A2,Upcera,RMT-034,2,8,8,2,1.24,1
24-Jan-1900,Disc Zircone GT-G 18 Layer D98x25 A3,Upcera,RMT-036,0,16,14,2,2.52,1
25-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 C2,Upcera,RMT-030,0,9,7,2,2.00,1
26-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 C2,Upcera,RMT-032,0,7,6,1,1.24,1
27-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 C3,Upcera,RMT-037,0,4,3,1,1.00,1
28-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 C3,Upcera,RMT-038,0,1,0,1,1.00,1
29-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 C3,Upcera,RMT-039,0,2,1,1,1.00,1
30-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 C3,Upcera,RMT-040,0,2,1,1,1.00,1
31-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 C3,Upcera,RMT-041,0,2,1,1,1.52,1
01-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 C3,Upcera,RMT-042,0,3,1,2,2.00,1
02-Feb-1900,Disc Zircone GT-G 18 Layer D98x18 C4,Upcera,RMT-031,0,2,1,1,1.81,1
03-Feb-1900,Disc Zircone GT-G 18 Layer D98x20 C4,Upcera,RMT-033,0,3,2,1,2.38,1
04-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 C4,Upcera,RMT-043,0,2,1,1,1.67,1
05-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 C4,Upcera,RMT-044,0,2,1,1,1.81,1
06-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 C2,Upcera,No data,2,2,3,1,,
07-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 A4,Upcera,No data,2,6,7,1,,
08-Feb-1900,Disc Zircone ST D98x20 W,Upcera,RMT-087,1,8,7,2,3.86,1
09-Feb-1900,Disc Zircone ST D98x30 W,Upcera,No data,2,6,6,2,,
10-Feb-1900,Disc Zircone GT-G 18 Layer D98x18 BL3,Upcera,RMT-137,2,3,4,1,0.29,
11-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 BL3,Upcera,RMT-138,2,1,2,1,1.71,
12-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 BL3,Upcera,RMT-139,2,3,4,1,2.00,
13-Feb-1900,Offline Clinic - Dental Milling Clip Clear For XFAB-Z5 Zirkonia,No Brand,IMP-DMCC,33,570,555,48,,20
14-Feb-1900,Ceramic Glass Layer (HT) VA1,Upcera,RMV-005,20,170,168,22,37.00,10
15-Feb-1900,Ceramic Glass Layer (HT) VBL1,Upcera,RMV-002,5,135,103,37,24.00,10
16-Feb-1900,Ceramic Glass Layer (HT) VBL2,Upcera,RMV-003,15,410,397,28,39.00,10
17-Feb-1900,Ceramic Glass Layer (HT) VBL3,Upcera,RMV-004,5,760,729,36,39.00,10
18-Feb-1900,Ceramic Glass Layer (HT) A2,Upcera,RMV-011,19,20,2,37,37.00,10
19-Feb-1900,Ceramic Glass Layer (HT) A3,Upcera,RMV-013,0,20,1,19,28.00,10
20-Feb-1900,Ceramic Glass Layer (LT) A1,Upcera,RMV-010,0,840,815,25,19.00,10
21-Feb-1900,Ceramic Glass Layer (LT) A2,Upcera,RMV-012,0,240,212,28,27.00,10
22-Feb-1900,Ceramic Glass Layer (LT) A3,Upcera,RMV-014,0,110,65,45,19.00,10
23-Feb-1900,Ceramic Glass Layer (LT) VBL1,Upcera,RMV-006,10,575,532,53,38.00,10
24-Feb-1900,Ceramic Glass Layer (LT) VBL2,Upcera,RMV-007,5,1025,972,58,37.00,10
25-Feb-1900,Ceramic Glass Layer (LT) VBL3,Upcera,RMV-008,10,1955,1911,54,16.00,10
26-Feb-1900,Ceramic Glass Layer (LT) B1,Upcera,RMV-020,30,240,232,38,51.00,
09-Jul-1900,Ceramic Glass Layer (LT) VBL4,Upcera,RMV-024,30,40,34,36,,
